"Id","Position","First Name","Nickname","Last Name","FPPG","Played","Salary","Game","Team","Opponent","Injury Indicator","Injury Details","Tier","",""
"42412-84669","PG","Luka","Luka Doncic","Doncic","54.16129032258065","31","11600","CHI@DAL","DAL","CHI","","","","",""
"42412-40199","SF","Giannis","Giannis Antetokounmpo","Antetokounmpo","57.60882209329044","34","11400","MIL@SA","MIL","SA","GTD","Back","","",""
"42412-49111","C","Joel","Joel Embiid","Embiid","46.85333251953125","30","9600","OKC@PHI","PHI","OKC","","","","",""
"42412-59358","PF","Domantas","Domantas Sabonis","Sabonis","41.317648494944855","34","9300","IND@CHA","IND","CHA","","","","",""
"42412-84671","PG","Trae","Trae Young","Young","45.603031042850375","33","9100","DEN@ATL","ATL","DEN","","","","",""
"42412-55062","C","Nikola","Nikola Jokic","Jokic","41.32285853794643","35","8800","DEN@ATL","DEN","ATL","","","","",""
"42412-66115","PG","Ben","Ben Simmons","Simmons","41.7","35","8500","OKC@PHI","PHI","OKC","","","","",""
"42412-14514","C","Nikola","Nikola Vucevic","Vucevic","41.08","25","8500","BKN@ORL","ORL","BKN","","","","",""
"42412-66048","SF","Brandon","Brandon Ingram","Ingram","41.20624923706055","32","8400","UTA@NO","NO","UTA","","","","",""
"42412-40203","C","Rudy","Rudy Gobert","Gobert","39.77272727272727","33","8300","UTA@NO","UTA","NO","","","","",""
"42412-63122","PF","Kristaps","Kristaps Porzingis","Porzingis","37.151611328125","31","8200","CHI@DAL","DAL","CHI","O","Knee","","",""
"42412-14498","PG","Kyrie","Kyrie Irving","Irving","48.29999889026988","11","8200","BKN@ORL","BKN","ORL","O","Shoulder","","",""
"42412-66113","SG","Donovan","Donovan Mitchell","Mitchell","38.64571358816964","35","8100","UTA@NO","UTA","NO","","","","",""
"42412-15595","SG","Bradley","Bradley Beal","Beal","44.332259639616936","31","8100","BOS@WAS","WAS","BOS","GTD","Lower leg","","",""
"42412-9663","SG","Jrue","Jrue Holiday","Holiday","39.4264705882353","34","8000","UTA@NO","NO","UTA","GTD","Elbow","","",""
"42412-40783","SG","Zach","Zach LaVine","LaVine","37.07222154405382","36","7900","CHI@DAL","CHI","DAL","","","","",""
"42412-80808","PF","Jayson","Jayson Tatum","Tatum","38.209091648910984","33","7900","BOS@WAS","BOS","WAS","","","","",""
"42412-14507","PG","Kemba","Kemba Walker","Walker","37.33000081380208","30","7800","BOS@WAS","BOS","WAS","O","Illness","","",""
"42412-15542","PG","Spencer","Spencer Dinwiddie","Dinwiddie","36.517646340762866","34","7800","BKN@ORL","BKN","ORL","","","","",""
"42412-58312","SG","D'Angelo","D'Angelo Russell","Russell","36.96818126331676","22","7800","GS@SAC","GS","SAC","O","Shoulder","","",""
"42412-9688","PF","LaMarcus","LaMarcus Aldridge","Aldridge","38.51250076293945","32","7800","MIL@SA","SA","MIL","","","","",""
"42412-80810","PG","De'Aaron","De'Aaron Fox","Fox","34.377777099609375","18","7700","GS@SAC","SAC","GS","","","","",""
"42412-9714","SG","DeMar","DeMar DeRozan","DeRozan","36.71764777688419","34","7600","MIL@SA","SA","MIL","","","","",""
"42412-84706","SG","Devonte'","Devonte' Graham","Graham","35.942106548108555","38","7500","IND@CHA","CHA","IND","","","","",""
"42412-66236","PF","John","John Collins","Collins","38.63999938964844","10","7300","DEN@ATL","ATL","DEN","GTD","Back","","",""
"42412-84680","SG","Shai","Shai Gilgeous-Alexander","Gilgeous-Alexander","33.522858537946426","35","7200","OKC@PHI","OKC","PHI","","","","",""
"42412-66108","PG","Jamal","Jamal Murray","Murray","32.65714285714286","35","7000","DEN@ATL","DEN","ATL","","","","",""
"42412-16261","SG","Khris","Khris Middleton","Middleton","32.7","30","7000","MIL@SA","MIL","SA","","","","",""
"42412-67026","SF","Jaylen","Jaylen Brown","Brown","34.672413793103445","29","6900","BOS@WAS","BOS","WAS","","","","",""
"42412-15684","SG","Victor","Victor Oladipo","Oladipo","36.872222900390625","36","6800","IND@CHA","IND","CHA","O","Knee","","",""
"42412-23665","SG","Buddy","Buddy Hield","Hield","32.27777777777778","36","6700","GS@SAC","SAC","GS","","","","",""
"42412-9623","PG","Chris","Chris Paul","Paul","35.13142787388393","35","6700","OKC@PHI","OKC","PHI","","","","",""
"42412-23447","PF","Richaun","Richaun Holmes","Holmes","31.22222222222222","36","6700","GS@SAC","SAC","GS","","","","",""
"42412-42677","PG","Terry","Terry Rozier","Rozier","31.105263157894736","38","6600","IND@CHA","CHA","IND","","","","",""
"42412-17333","SF","Will","Will Barton","Barton","31.503029563210227","33","6600","DEN@ATL","DEN","ATL","","","","",""
"42412-12351","PF","Derrick","Derrick Favors","Favors","27.65","20","6500","UTA@NO","NO","UTA","","","","",""
"42412-12366","SF","Gordon","Gordon Hayward","Hayward","32.635293399586395","17","6400","BOS@WAS","BOS","WAS","","","","",""
"42412-14518","SF","Tobias","Tobias Harris","Harris","34.5","37","6400","OKC@PHI","PHI","OKC","","","","",""
"42412-80806","PG","Lonzo","Lonzo Ball","Ball","28.00714329310826","28","6300","UTA@NO","NO","UTA","","","","",""
"42412-23169","C","Steven","Steven Adams","Adams","31.543750762939453","32","6100","OKC@PHI","OKC","PHI","","","","",""
"42412-12355","PG","Eric","Eric Bledsoe","Bledsoe","30.93103448275862","29","6000","MIL@SA","MIL","SA","","","","",""
"42412-14510","SF","Alec","Alec Burks","Burks","28.991176829618567","34","6000","GS@SAC","GS","SAC","","","","",""
"42412-81621","PF","Maxi","Maxi Kleber","Kleber","19.3647066004136","34","5900","CHI@DAL","DAL","CHI","","","","",""
"42412-58253","C","Myles","Myles Turner","Turner","27.403570992606028","28","5900","IND@CHA","IND","CHA","","","","",""
"42412-15860","PF","Draymond","Draymond Green","Green","29.14814814814815","27","5900","GS@SAC","GS","SAC","O","Ankle","","",""
"42412-84676","C","Wendell","Wendell Carter","Carter","29.11111111111111","36","5800","CHI@DAL","CHI","DAL","","","","",""
"42412-40201","SG","Dennis","Dennis Schroder","Schroder","28.74411728802849","34","5800","OKC@PHI","OKC","PHI","","","","",""
"42412-23120","SF","T.J.","T.J. Warren","Warren","27.35277811686198","36","5700","IND@CHA","IND","CHA","","","","",""
"42412-41594","PF","Aaron","Aaron Gordon","Gordon","28.496774981098792","31","5700","BKN@ORL","ORL","BKN","","","","",""
"42412-84668","SF","Troy","Troy Brown","Brown","23.299999237060547","32","5700","BOS@WAS","WAS","BOS","","","","",""
"42412-14530","SF","Bojan","Bojan Bogdanovic","Bogdanovic","28.55294081744026","34","5700","UTA@NO","UTA","NO","","","","",""
"42412-15559","SG","Jeremy","Jeremy Lamb","Lamb","27.84800048828125","25","5700","IND@CHA","IND","CHA","","","","",""
