"Id","Position","First Name","Nickname","Last Name","FPPG","Played","Salary","Game","Team","Opponent","Injury Indicator","Injury Details","Tier","",""
"42381-15755","PF","Anthony","Anthony Davis","Davis","53.19394013375947","33","11800","DET@LAL","LAL","DET","GTD","Shoulder","","",""
"42381-9488","SF","LeBron","LeBron James","James","52.65293974034927","34","10900","DET@LAL","LAL","DET","","","","",""
"42381-58462","C","Karl-Anthony","Karl-Anthony Towns","Towns","50.88261081861413","23","10000","MIN@CLE","MIN","CLE","GTD","Knee","","",""
"42381-15557","C","Andre","Andre Drummond","Drummond","48.42941104664522","34","9700","DET@LAL","DET","LAL","","","","",""
"42381-58460","SG","Devin","Devin Booker","Booker","38.821876525878906","32","8400","MEM@PHO","PHO","MEM","","","","",""
"42381-58153","SF","Kelly","Kelly Oubre","Oubre","33.18571428571428","35","7600","MEM@PHO","PHO","MEM","","","","",""
"42381-84673","C","Deandre","Deandre Ayton","Ayton","36.47999877929688","5","7500","MEM@PHO","PHO","MEM","","","","",""
"42381-14496","PG","Ricky","Ricky Rubio","Rubio","35.213793524380385","29","7300","MEM@PHO","PHO","MEM","","","","",""
"42381-9874","PF","Kevin","Kevin Love","Love","33.25333251953125","30","7000","MIN@CLE","CLE","MIN","","","","",""
"42381-49116","SG","Andrew","Andrew Wiggins","Wiggins","39.09615384615385","26","7000","MIN@CLE","MIN","CLE","GTD","Illness","","",""
"42381-14503","C","Jonas","Jonas Valanciunas","Valanciunas","30.545454545454547","33","6700","MEM@PHO","MEM","PHO","","","","",""
"42381-84683","PF","Jaren","Jaren Jackson","Jackson","30.02285853794643","35","6500","MEM@PHO","MEM","PHO","","","","",""
"42381-15771","C","Gorgui","Gorgui Dieng","Dieng","20.233333333333334","30","6300","MIN@CLE","MIN","CLE","","","","",""
"42381-110344","PG","Ja","Ja Morant","Morant","32.15","30","6200","MEM@PHO","MEM","PHO","","","","",""
"42381-14501","C","Tristan","Tristan Thompson","Thompson","31.097060259650736","34","6000","MIN@CLE","CLE","MIN","","","","",""
"42381-9475","PG","Derrick","Derrick Rose","Rose","29.293332926432292","30","5900","DET@LAL","DET","LAL","","","","",""
"42381-20491","PF","Robert","Robert Covington","Covington","26.921212861032195","33","5700","MIN@CLE","MIN","CLE","","","","",""
"42381-9560","PF","Blake","Blake Griffin","Griffin","26.127777099609375","18","5600","DET@LAL","DET","LAL","O","Knee","","",""
"42381-15560","PG","Shabazz","Shabazz Napier","Napier","20.700000581287203","21","5600","MIN@CLE","MIN","CLE","","","","",""
"42381-84667","PG","Collin","Collin Sexton","Sexton","26.67714320591518","35","5100","MIN@CLE","CLE","MIN","","","","",""
"42381-110353","PF","Brandon","Brandon Clarke","Clarke","24.24666748046875","30","5000","MEM@PHO","MEM","PHO","","","","",""
"42381-9446","PG","Jeff","Jeff Teague","Teague","28.04642813546317","28","5000","MIN@CLE","MIN","CLE","GTD","Knee","","",""
"42381-37931","C","Aron","Aron Baynes","Baynes","24.71538367638221","26","4900","MEM@PHO","PHO","MEM","","","","",""
"42381-84694","SG","Bruce","Bruce Brown","Brown","22.742857142857144","35","4900","DET@LAL","DET","LAL","","","","",""
"42381-66046","SF","Luke","Luke Kennard","Kennard","26.53928484235491","28","4900","DET@LAL","DET","LAL","O","Knee","","",""
"42381-58377","PF","Kyle","Kyle Kuzma","Kuzma","18.392308161808895","26","4800","DET@LAL","LAL","DET","","","","",""
"42381-15800","SF","Jae","Jae Crowder","Crowder","25.49411728802849","34","4700","MEM@PHO","MEM","PHO","","","","",""
"42381-60233","SG","Dillon","Dillon Brooks","Brooks","23.938888549804688","36","4600","MEM@PHO","MEM","PHO","","","","",""
"42381-110342","PG","Darius","Darius Garland","Garland","18.52571498325893","35","4500","MIN@CLE","CLE","MIN","","","","",""
