"Id","Position","First Name","Nickname","Last Name","FPPG","Played","Salary","Game","Team","Opponent","Injury Indicator","Injury Details","Tier","",""
"42325-9488","SF","LeBron","LeBron James","James","52.63939319957387","33","11400","NO@LAL","LAL","NO","","","","",""
"42325-9644","SG","James","James Harden","Harden","59.709091648910984","33","11100","PHI@HOU","HOU","PHI","","","","",""
"42325-15755","PF","Anthony","Anthony Davis","Davis","52.603126525878906","32","10400","NO@LAL","LAL","NO","GTD","Shoulder","","",""
"42325-12363","C","Hassan","Hassan Whiteside","Whiteside","41.321876525878906","32","9300","POR@WAS","POR","WAS","","","","",""
"42325-20848","PG","Damian","Damian Lillard","Lillard","44.46666740648674","33","9300","POR@WAS","POR","WAS","","","","",""
"42325-49111","C","Joel","Joel Embiid","Embiid","46.92068797144397","29","9200","PHI@HOU","PHI","HOU","","","","",""
"42325-9642","PG","Russell","Russell Westbrook","Westbrook","45.776668294270834","30","9100","PHI@HOU","HOU","PHI","","","","",""
"42325-84671","PG","Trae","Trae Young","Young","45.229031470514116","31","8800","ATL@BOS","ATL","BOS","","","","",""
"42325-66048","SF","Brandon","Brandon Ingram","Ingram","41.8","30","8600","NO@LAL","NO","LAL","","","","",""
"42325-15595","SG","Bradley","Bradley Beal","Beal","44.332259639616936","31","8600","POR@WAS","WAS","POR","GTD","Leg","","",""
"42325-80817","PF","Bam","Bam Adebayo","Adebayo","40","34","8600","MIA@ORL","MIA","ORL","","","","",""
"42325-66115","PG","Ben","Ben Simmons","Simmons","40.60000071806066","34","8500","PHI@HOU","PHI","HOU","","","","",""
"42325-14528","SG","Jimmy","Jimmy Butler","Butler","43.5933349609375","30","8500","MIA@ORL","MIA","ORL","","","","",""
"42325-14514","C","Nikola","Nikola Vucevic","Vucevic","40.72608748726223","23","8400","MIA@ORL","ORL","MIA","","","","",""
"42325-9663","SG","Jrue","Jrue Holiday","Holiday","39.91875076293945","32","8400","NO@LAL","NO","LAL","","","","",""
"42325-80808","PF","Jayson","Jayson Tatum","Tatum","38.23225648941532","31","8100","ATL@BOS","BOS","ATL","","","","",""
"42325-58460","SG","Devin","Devin Booker","Booker","38.52257907006048","31","8000","NY@PHO","PHO","NY","","","","",""
"42325-14507","PG","Kemba","Kemba Walker","Walker","37.33000081380208","30","7900","ATL@BOS","BOS","ATL","O","Illness","","",""
"42325-66236","PF","John","John Collins","Collins","40.03333197699653","9","7800","ATL@BOS","ATL","BOS","","","","",""
"42325-42669","PF","Julius","Julius Randle","Randle","34.13235294117647","34","7600","NY@PHO","NY","PHO","","","","",""
"42325-55059","C","Clint","Clint Capela","Capela","39.52142769949777","28","7600","PHI@HOU","HOU","PHI","","","","",""
"42325-14496","PG","Ricky","Ricky Rubio","Rubio","35.40714372907366","28","7500","NY@PHO","PHO","NY","GTD","Hip","","",""
"42325-84673","C","Deandre","Deandre Ayton","Ayton","35.57500076293945","4","7500","NY@PHO","PHO","NY","","","","",""
"42325-67026","SF","Jaylen","Jaylen Brown","Brown","34.762962058738424","27","7500","ATL@BOS","BOS","ATL","GTD","Illness","","",""
"42325-19067","SG","CJ","CJ McCollum","McCollum","35.51428571428571","35","7200","POR@WAS","POR","WAS","","","","",""
